Make,Model,Year,Price,BodyStyle,Trim,FuelType,CityMPG,HighwayMPG,Drivetrain,Transmission,Engine,Link
Cheverolet,City Express,2018,22024,CargoVan,1LT,Gasoline,24,26,FWD,Automatic CVT,2.0L I4 16V MPFI DOHC,http://cars.com/vehicledetail/detail/732917986/overview/
Cheverolet,City Express,2018,24665,CargoVan,1LS,Gasoline,24,26,FWD,Variable,2.0L,http://cars.com/vehicledetail/detail/766483077/overview/
Cheverolet,City Express,2017,24067,CargoVan,1LT,Gasoline,24,26,FWD,,Engine 2.0L DOHC I4 (131 hp [97.7 kW]@ 5200 rpm 139-lb-ft of t,http://cars.com/vehicledetail/detail/758561911/overview/
Cheverolet,City Express,2017,23555,CargoVan,1LT,Gasoline,24,26,FWD,Automatic CVT,2.0L I4 16V MPFI DOHC,http://cars.com/vehicledetail/detail/703900905/overview/
Cheverolet,City Express,2017,25500,CargoVan,1LT,Gasoline,24,26,FWD,Automatic CVT,2.0L I4 16V MPFI DOHC,http://cars.com/vehicledetail/detail/710958735/overview/
Cheverolet,City Express,2017,24263,CargoVan,1LT,Gasoline,24,26,FWD,Automatic CVT,2.0L I4 16V MPFI DOHC,http://cars.com/vehicledetail/detail/701341706/overview/
Cheverolet,City Express,2017,24035,CargoVan,1LS,Gasoline,24,26,FWD,CVT,2.0L I4 131hp 139ft. lbs.,http://cars.com/vehicledetail/detail/723853259/overview/
Cheverolet,City Express,2016,23682,CargoVan,1LT,Gasoline,24,26,FWD,Automatic CVT,2.0L I4 16V MPFI DOHC,http://cars.com/vehicledetail/detail/667030557/overview/
Cheverolet,City Express,2016,23682,CargoVan,1LT,Gasoline,24,26,FWD,Automatic CVT,2.0L I4 16V MPFI DOHC,http://cars.com/vehicledetail/detail/666918298/overview/
Cheverolet,City Express,2016,23682,CargoVan,1LT,Gasoline,24,26,FWD,Automatic CVT,2.0L I4 16V MPFI DOHC,http://cars.com/vehicledetail/detail/666294096/overview/
Cheverolet,City Express,2016,23682,CargoVan,1LT,Gasoline,24,26,FWD,Automatic CVT,2.0L I4 16V MPFI DOHC,http://cars.com/vehicledetail/detail/666918301/overview/
Cheverolet,City Express,2016,23682,CargoVan,1LT,Gasoline,24,26,FWD,Automatic CVT,2.0L I4 16V MPFI DOHC,http://cars.com/vehicledetail/detail/666918315/overview/
Cheverolet,City Express,2015,26385,CargoVan,1LT,Gasoline,24,26,FWD,Automatic CVT,2.0L I4 16V MPFI DOHC,http://cars.com/vehicledetail/detail/694833336/overview/
Cheverolet,City Express,2015,23640,CargoVan,1LS,Gasoline,24,26,FWD,Automatic CVT,2.0L I4 16V MPFI DOHC,http://cars.com/vehicledetail/detail/668344274/overview/
Cheverolet,City Express,2015,23640,CargoVan,1LS,Gasoline,24,26,FWD,Automatic CVT,2.0L I4 16V MPFI DOHC,http://cars.com/vehicledetail/detail/668344439/overview/
Cheverolet,Express 2500,2019,35220,CargoVan,Work Van,E85 Flex Fuel,,,RWD,Automatic,8 Cylinder,http://cars.com/vehicledetail/detail/760489024/overview/
Cheverolet,Express 2500,2019,29766,CargoVan,Work Van,E85 Flex Fuel,,,RWD,6-SPEED AUTOMATIC,6,http://cars.com/vehicledetail/detail/761706004/overview/
Cheverolet,Express 2500,2019,33808,CargoVan,RWD 2500 135\,E85 Flex Fuel,,,RWD,6-Speed Automatic,Gas/Ethanol V8 6.0L/364,http://cars.com/vehicledetail/detail/761356505/overview/
Cheverolet,Express 2500,2019,30730,CargoVan,Work Van,Gasoline,,,RWD,8-Speed Automatic,6.0L V8 16V MPFI OHV,http://cars.com/vehicledetail/detail/765903458/overview/
Cheverolet,Express 2500,2019,29807,CargoVan,Work Van,Gasoline,,,RWD,6-Speed Automatic,6.0L V8 16V MPFI OHV,http://cars.com/vehicledetail/detail/763435051/overview/
Cheverolet,Express 2500,2018,32137,CargoVan,Work Van,Gasoline,,,RWD,8-Speed Automatic,4.3L V6 12V GDI OHV,http://cars.com/vehicledetail/detail/747435720/overview/
Cheverolet,Express 2500,2018,58640,CargoVan,Work Van,Gasoline,,,RWD,6-Speed Automatic,6.0L V8 16V MPFI OHV,http://cars.com/vehicledetail/detail/735800604/overview/
Cheverolet,Express 2500,2018,28906,CargoVan,Work Van,Gasoline,,,RWD,6-Speed Automatic,6.0L V8 16V MPFI OHV,http://cars.com/vehicledetail/detail/747610403/overview/
Cheverolet,Express 2500,2018,60269,CargoVan,Work Van,E85 Flex Fuel,,,RWD,Shiftable Automatic,6.0L 8 cyl Sequential-Port F.I.,http://cars.com/vehicledetail/detail/747922371/overview/
Cheverolet,Express 2500,2018,33360,CargoVan,Work Van,Gasoline,,,RWD,8-Speed Automatic,4.3L V6 12V GDI OHV,http://cars.com/vehicledetail/detail/757765930/overview/
Cheverolet,Express 2500,2017,30266,CargoVan,Work Van,Gasoline,11,17,RWD,Shiftable Automatic,8 Cylinder,http://cars.com/vehicledetail/detail/714054672/overview/
Cheverolet,Express 2500,2017,34724,CargoVan,Work Van,Diesel,11,17,RWD,Automatic,4 Cylinder,http://cars.com/vehicledetail/detail/713412777/overview/
Cheverolet,Express 2500,2017,30941,CargoVan,Work Van,Gasoline,11,17,RWD,6-Speed Automatic,4.8L V8 16V MPFI OHV,http://cars.com/vehicledetail/detail/715153900/overview/
Cheverolet,Express 2500,2017,29941,CargoVan,Work Van,Gasoline,11,17,RWD,6-Speed Automatic,4.8L V8 16V MPFI OHV,http://cars.com/vehicledetail/detail/719205941/overview/
Cheverolet,Express 2500,2017,30941,CargoVan,Work Van,Gasoline,11,17,RWD,6-Speed Automatic,4.8L V8 16V MPFI OHV,http://cars.com/vehicledetail/detail/716443324/overview/
Cheverolet,Express 2500,2016,37863,CargoVan,Work Van,E85 Flex Fuel,11,17,RWD,Automatic,6.0L 8-Cylinder Flex Fuel,http://cars.com/vehicledetail/detail/706310146/overview/
Cheverolet,Express 2500,2016,29007,CargoVan,Work Van,Gasoline,11,17,RWD,6-Speed Automatic,6.0L V8 16V MPFI OHV,http://cars.com/vehicledetail/detail/700536706/overview/
Cheverolet,Express 2500,2016,29007,CargoVan,Work Van,Gasoline,11,17,RWD,6-Speed Automatic,6.0L V8 16V MPFI OHV,http://cars.com/vehicledetail/detail/700536801/overview/
Cheverolet,Express 2500,2016,31000,CargoVan,Work Van,Gasoline,11,17,RWD,6-Speed Automatic,4.8L V8 16V MPFI OHV,http://cars.com/vehicledetail/detail/674397051/overview/
Cheverolet,Express 2500,2015,30460,CargoVan,Work Van,Gasoline,11,17,RWD,6-Speed Automatic,4.8L V8 16V MPFI OHV,http://cars.com/vehicledetail/detail/720121818/overview/
Cheverolet,Express 2500,2015,30460,CargoVan,Work Van,Gasoline,11,17,RWD,6-Speed Automatic,4.8L V8 16V MPFI OHV,http://cars.com/vehicledetail/detail/720121817/overview/
Cheverolet,Express 2500,2015,32105,CargoVan,Work Van,Gasoline,11,17,RWD,6-Speed Automatic,4.8L V8 16V MPFI OHV,http://cars.com/vehicledetail/detail/720121815/overview/
Cheverolet,Express 2500,2015,30460,CargoVan,Work Van,Gasoline,11,17,RWD,6-Speed Automatic,4.8L V8 16V MPFI OHV,http://cars.com/vehicledetail/detail/720121814/overview/
Cheverolet,Express 2500,2015,,CargoVan,Work Van,Gasoline,11,17,RWD,6-Speed Automatic,4.8L V8 16V MPFI OHV,http://cars.com/vehicledetail/detail/720121835/overview/
Cheverolet,Express 3500,2019,39835,CargoVan,Work Van,Gasoline,,,RWD,6-Speed Automatic,6.0L V8 16V MPFI OHV,http://cars.com/vehicledetail/detail/764455114/overview/
Cheverolet,Express 3500,2019,39835,CargoVan,Work Van,Gasoline,,,RWD,6-Speed Automatic,6.0L V8 16V MPFI OHV,http://cars.com/vehicledetail/detail/764455666/overview/
Cheverolet,Express 3500,2019,39835,CargoVan,Work Van,Gasoline,,,RWD,6-Speed Automatic,6.0L V8 16V MPFI OHV,http://cars.com/vehicledetail/detail/764453865/overview/
Cheverolet,Express 3500,2019,37930,CargoVan,Work Van,Gasoline,,,RWD,Automatic,6.0L V8 16V MPFI OHV,http://cars.com/vehicledetail/detail/761688152/overview/
Cheverolet,Express 3500,2019,39835,CargoVan,Work Van,Gasoline,,,RWD,6-Speed Automatic,6.0L V8 16V MPFI OHV,http://cars.com/vehicledetail/detail/764454031/overview/
Cheverolet,Express 3500,2018,37860,CargoVan,Work Van,Gasoline,,,RWD,8-Speed Automatic,4.3L V6 12V GDI OHV,http://cars.com/vehicledetail/detail/751306538/overview/
Cheverolet,Express 3500,2018,34420,CargoVan,Work Van,E85 Flex Fuel,,,RWD,6-Speed Automatic,6.0L 8-Cylinder Flex Fuel,http://cars.com/vehicledetail/detail/765800826/overview/
Cheverolet,Express 3500,2018,37146,CargoVan,Work Van,Gasoline,,,RWD,6-Speed Automatic,6.0L V8 16V MPFI OHV,http://cars.com/vehicledetail/detail/751654391/overview/
Cheverolet,Express 3500,2018,34165,CargoVan,Work Van,Gasoline,,,RWD,6-Speed Automatic,6.0L V8 16V MPFI OHV,http://cars.com/vehicledetail/detail/753591856/overview/
Cheverolet,Express 3500,2018,37146,CargoVan,Work Van,Gasoline,,,RWD,6-Speed Automatic,6.0L V8 16V MPFI OHV,http://cars.com/vehicledetail/detail/751654366/overview/
